Etapa,Componente,Rede,Edição,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,% Não Alfabetizado,% Alfabetização Incompleta,% Intermediário 2º Ano,% Suficiente,% Desejável,% Muito Crítico,% Crítico,% Intermediário,% Adequado,Nº de Alunos Previstos,Nº de Alunos Avaliados,Participação (%)
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2007,126.5,72.6,Suficiente,31.4,12.3,11.8,9.7,34.7,,,,,0,1191,36.9531492398387
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2007,119.0,68.9,Intermediário,32.8,14.7,12.7,9.9,29.9,,,,,0,117396,74.4591380458567
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2008,137.927214037279,64.9997659371912,Suficiente,17.3134328358209,14.3283582089552,15.8208955223881,14.4278606965174,38.1094527363184,,,,,0,1005,84.2414082145851
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2008,127.715404153483,60.5035617550082,Suficiente,20.0227790432802,16.1950862349496,17.2835990888383,15.7346241457859,30.7639114871461,,,,,0,122920,85.4590329196649
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2009,144.766264174686,61.3633859801939,Suficiente,13.6606189967983,13.8740661686233,14.7278548559232,13.8740661686233,43.863393810032,,,,,0,937,83.9605734767025
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2009,142.538845704847,62.590270089974,Suficiente,14.3546022683435,13.9564848391328,15.7348969986884,14.4525885348353,41.5014273590001,,,,,0,129610,92.0976899190654
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2010,145.261161242604,58.1843858517122,Suficiente,11.3905325443787,13.0177514792899,13.3136094674556,16.5680473372781,45.7100591715976,,,,,0,676,96.987087517934
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2010,162.731630857973,61.4091008352552,Desejável,6.91904842848239,9.3910622212509,12.9639073035299,15.7847874829007,54.9411945638361,,,,,0,124226,98.9564746367576
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2011,161.4,47.6,Desejável,3.9,6.1,13.7,18.2,58.1,,,,,0,717,94.5
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2011,177.1,57.0,Desejável,3.1,5.7,9.7,15.4,66.1,,,,,0,111977,99.1
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2012,148.85111070175674,42.22896665557517,Suficiente,3.7837837837837838,7.837837837837838,19.594594594594593,20.27027027027027,48.513513513513516,,,,,0,740,85.54913294797687
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2012,162.13939903978135,48.744331306487105,Desejável,2.0686028165721964,6.627515144432108,14.588324665459007,18.931027094411657,57.78453027912503,,,,,0,102678,94.36622307183295
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2013,151.67237935033992,41.51154737755331,Desejável,1.5797788309636651,7.898894154818326,19.747235387045812,21.958925750394943,48.81516587677725,,,,,0,633,87.3103448275862
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2013,165.21735231839943,45.649395625518586,Desejável,1.3123173826446533,4.841824303147337,12.286040704081529,20.326765006217837,61.23305260390865,,,,,0,98909,100.48561936788207
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2014,157.38736282600738,40.922793292845476,Desejável,0.6230529595015576,5.919003115264798,15.88785046728972,22.897196261682243,54.67289719626168,,,,,0,642,96.3963963963964
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2014,174.46161057704018,49.16247388786688,Desejável,0.6163995258465186,4.216873679327939,10.556099572231098,17.701386383548936,66.90924083904551,,,,,0,97015,101.47906402652691
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2015,159.98907674777053,46.20379477229876,Desejável,2.1775544388609713,8.877721943048575,15.075376884422111,15.242881072026801,58.62646566164154,,,,,0,597,93.13572542901716
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2015,181.377005973276,51.439230578715936,Desejável,0.4843180456700748,3.6460924570256577,9.80718658936531,15.315415934774443,70.74698697316451,,,,,0,98489,101.93649216502101
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2016,166.64833801245348,49.775008386719406,Desejável,0.8503401360544218,9.183673469387756,12.414965986394558,14.45578231292517,63.095238095238095,,,,,0,588,89.49771689497716
