Etapa,Componente,Rede,Código da CREDE,CREDE,Código do Município,Município,Edição,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,% Não Alfabetizado,% Alfabetização Incompleta,% Intermediário (2º Ano),% Suficiente,% Desejável,% Muito Crítico,% Crítico,% Intermediário,% Adequado,Nº de Alunos Previstos,Nº de Alunos Avaliados,Participação (%)
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,8,BATURITE,2301950,Barreira,2007,85.58304881357,54.3922221492142,Alfabetização Incompleta,53.2,18.0,9.6,5.2,14.0,,,,,377,250,66.3129973474801
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,20,BREJO SANTO,2302008,Barro,2007,102.263140775362,58.2697942361299,Intermediário,38.3275261324042,16.7247386759582,17.0731707317073,7.66550522648084,20.2090592334495,,,,,375,287,76.5333333333333
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,4,CAMOCIM,2302057,Barroquinha,2007,89.5253134355423,57.8653702980589,Alfabetização Incompleta,51.1705685618729,15.7190635451505,9.36454849498328,8.36120401337793,15.3846153846154,,,,,342,299,87.4269005847953
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,8,BATURITE,2302107,Baturité,2007,101.715734347305,66.147009512444,Intermediário,44.4444444444444,13.3333333333333,14.8888888888889,7.77777777777778,19.5555555555556,,,,,631,450,71.3153724247227
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,9,HORIZONTE,2302206,Beberibe,2007,139.634294494507,69.7738709819553,Suficiente,21.44128113879,13.3451957295374,11.9217081850534,11.0320284697509,42.2597864768683,,,,,1515,1124,74.1914191419142
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,3,ACARAU,2302305,Bela Cruz,2007,123.294316496226,70.1207452375133,Intermediário,32.7338129496403,10.431654676259,12.2302158273381,11.8705035971223,32.7338129496403,,,,,265,278,104.905660377359
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,12,QUIXADA,2302404,Boa Viagem,2007,119.197896428529,67.5955752046096,Intermediário,32.1092278719397,14.9717514124294,12.1468926553672,9.51035781544256,31.2617702448211,,,,,1502,1062,70.7057256990679
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,20,BREJO SANTO,2302503,Brejo Santo,2007,103.754280855525,74.3714395184043,Intermediário,48.1904761904762,9.71428571428571,9.14285714285714,7.23809523809524,25.7142857142857,,,,,732,525,71.7213114754098
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,4,CAMOCIM,2302602,Camocim,2007,111.427078978048,68.9370951093414,Intermediário,38.7546468401487,13.5687732342007,12.2676579925651,8.36431226765799,27.0446096654275,,,,,1406,1076,76.5291607396871
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,18,CRATO,2302701,Campos Sales,2007,104.766163396193,71.4810960385892,Intermediário,44.3231441048035,13.9737991266376,10.4803493449782,7.4235807860262,23.7991266375546,,,,,587,458,78.0238500851789
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,7,CANINDE,2302800,Canindé,2007,108.931798019341,65.9203528965228,Intermediário,38.6246786632391,14.7814910025707,12.3393316195373,9.6401028277635,24.6143958868895,,,,,1947,1556,79.9178222907036
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,8,BATURITE,2302909,Capistrano,2007,109.795945079404,64.5673511131031,Intermediário,35.2112676056338,18.3098591549296,14.0845070422535,7.51173708920188,24.8826291079812,,,,,277,213,76.8953068592058
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,7,CANINDE,2303006,Caridade,2007,114.507486442228,68.7532489799374,Intermediário,37.6744186046512,11.8604651162791,13.7209302325581,8.6046511627907,28.1395348837209,,,,,550,430,78.1818181818182
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2303105,Cariré,2007,78.2993543242203,52.2244463829592,Alfabetização Incompleta,59.1639871382637,15.4340836012862,9.64630225080386,3.85852090032154,11.8971061093248,,,,,374,311,83.1550802139038
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,19,JUAZEIRO DO NORTE,2303204,Caririaçu,2007,96.9969685542453,64.05347793296,Alfabetização Incompleta,50.1108647450111,13.5254988913526,9.97782705099778,7.09534368070953,19.290465631929,,,,,637,451,70.8006279434851
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,16,IGUATU,2303303,Cariús,2007,124.163276664337,69.2507536500602,Intermediário,29.7994269340974,13.7535816618911,12.0343839541547,10.3151862464183,34.0974212034384,,,,,441,349,79.1383219954649
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,5,TIANGUA,2303402,Carnaubal,2007,103.817542609846,64.4524329258785,Intermediário,40.418118466899,17.7700348432056,10.801393728223,9.40766550522648,21.602787456446,,,,,332,287,86.4457831325301
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,9,HORIZONTE,2303501,Cascavel,2007,129.03028301702,72.1785041350262,Suficiente,28.2051282051282,15.3846153846154,11.1111111111111,10.7312440645774,34.5679012345679,,,,,1280,1053,82.265625
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,16,IGUATU,2303600,Catarina,2007,153.524502802024,78.9653817452805,Desejável,22.0183486238532,11.0091743119266,9.1743119266055,7.3394495412844,50.4587155963303,,,,,146,109,74.6575342465753
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,13,CRATEUS,2303659,Catunda,2007,104.343282830086,67.4341579747395,Intermediário,47.5609756097561,9.75609756097561,9.75609756097561,9.75609756097561,23.1707317073171,,,,,216,164,75.9259259259259
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,1,MARACANAU,2303709,Caucaia,2007,133.623448874546,68.159568007392,Suficiente,22.3388019839756,15.2613506295307,13.7161388782907,11.4650896604349,37.218618847768,,,,,7477,5242,70.1083322188043
